PERMNO,HdrCUSIP,Ticker,PERMCO,DlyCalDt,DlyPrc,DlyVol,DlyLow,DlyHigh,DlyOpen
10107,59491810,MSFT,8048,2020-09-29,207.260000,24428859,206.810000,210.070000,209.350000
10107,59491810,MSFT,8048,2020-09-30,210.330000,33768612,206.540000,211.980000,207.730000
10107,59491810,MSFT,8048,2020-10-01,212.460000,27119548,211.320000,213.990000,213.490000
10107,59491810,MSFT,8048,2020-10-02,206.190000,33113024,205.540000,210.990000,208.000000
10107,59491810,MSFT,8048,2020-10-05,210.380000,21315350,206.980000,210.410000,207.220000
10107,59491810,MSFT,8048,2020-10-06,205.910000,28520355,204.820000,210.180000,208.820000
10107,59491810,MSFT,8048,2020-10-07,209.830000,25645279,206.720000,210.110000,207.060000
10107,59491810,MSFT,8048,2020-10-08,210.580000,19902524,208.320000,211.190000,210.510000
10107,59491810,MSFT,8048,2020-10-09,215.810000,26426866,211.230000,215.860000,211.230000
10107,59491810,MSFT,8048,2020-10-12,221.400000,40432274,216.810000,223.860000,218.790000
10107,59491810,MSFT,8048,2020-10-13,222.860000,28929030,220.430000,225.210000,222.720000
10107,59491810,MSFT,8048,2020-10-14,220.860000,23432941,219.130000,224.220000,223.000000
10107,59491810,MSFT,8048,2020-10-15,219.660000,22708604,216.010000,220.360000,217.100000
10107,59491810,MSFT,8048,2020-10-16,219.660000,26027418,219.320000,222.290000,220.150000
10107,59491810,MSFT,8048,2020-10-19,214.220000,27595447,213.720000,222.300000,220.415000
10107,59491810,MSFT,8048,2020-10-20,214.650000,22713490,213.090100,217.370000,215.800000
10107,59491810,MSFT,8048,2020-10-21,214.800000,22702679,213.120000,216.920000,213.120000
10107,59491810,MSFT,8048,2020-10-22,214.890000,22311455,211.700000,216.055000,213.930000
10107,59491810,MSFT,8048,2020-10-23,216.230000,18860110,213.160000,216.280000,215.030000
10107,59491810,MSFT,8048,2020-10-26,210.080000,37030513,208.100000,216.339900,213.850000
10107,59491810,MSFT,8048,2020-10-27,213.250000,36632364,210.329000,214.670000,211.590000
10107,59491810,MSFT,8048,2020-10-28,202.680000,51075611,202.100000,208.840000,207.670000
10107,59491810,MSFT,8048,2020-10-29,204.720000,31392070,203.370000,207.360000,204.070000
10107,59491810,MSFT,8048,2020-10-30,202.470000,36890847,199.620000,204.290000,203.500000
10107,59491810,MSFT,8048,2020-11-02,202.330000,30764903,200.120000,205.280000,204.290000
10107,59491810,MSFT,8048,2020-11-03,206.430000,27458277,203.120000,208.120000,203.890000
10107,59491810,MSFT,8048,2020-11-04,216.390000,42248223,212.418500,218.320000,214.020000
10107,59491810,MSFT,8048,2020-11-05,223.290000,36025061,221.150000,224.120000,222.040000
10107,59491810,MSFT,8048,2020-11-06,223.720000,25178566,218.030000,224.360000,222.260000
10107,59491810,MSFT,8048,2020-11-09,218.390000,44312074,217.880000,228.120000,224.435000
10107,59491810,MSFT,8048,2020-11-10,211.010000,44326823,209.720000,216.500000,214.500000
10107,59491810,MSFT,8048,2020-11-11,216.550000,29450103,212.200000,218.040000,212.390000
10107,59491810,MSFT,8048,2020-11-12,215.440000,21597191,214.460000,219.110000,217.210000
10107,59491810,MSFT,8048,2020-11-13,216.510000,18593771,214.160000,217.420000,216.360000
10107,59491810,MSFT,8048,2020-11-16,217.230000,24922441,214.520000,217.740000,214.870000
10107,59491810,MSFT,8048,2020-11-17,214.460000,24347441,214.080000,217.680000,216.100000
10107,59491810,MSFT,8048,2020-11-18,211.080000,28334964,210.930000,215.170000,213.650000
10107,59491810,MSFT,8048,2020-11-19,212.420000,24742219,209.930000,213.030000,211.380000
10107,59491810,MSFT,8048,2020-11-20,210.390000,22814635,210.000000,213.285000,212.200000
10107,59491810,MSFT,8048,2020-11-23,210.110000,25614196,208.160000,212.290000,210.950000
10107,59491810,MSFT,8048,2020-11-24,213.860000,33905008,208.860000,214.250000,209.590000
10107,59491810,MSFT,8048,2020-11-25,213.870000,20967138,212.460000,215.290000,215.110000
10107,59491810,MSFT,8048,2020-11-27,215.230000,14496685,214.040000,216.270000,214.850000
10107,59491810,MSFT,8048,2020-11-30,214.070000,33025532,210.835000,214.760000,214.100000
10107,59491810,MSFT,8048,2020-12-01,216.210000,31270035,213.350000,217.320000,214.510000
10107,59491810,MSFT,8048,2020-12-02,215.370000,23704643,212.800000,215.470000,214.880000
10107,59491810,MSFT,8048,2020-12-03,214.240000,25082987,213.650000,216.375700,214.610000
10107,59491810,MSFT,8048,2020-12-04,214.360000,25215669,213.180000,215.380000,214.220000
10107,59491810,MSFT,8048,2020-12-07,214.290000,24597148,212.990000,215.540000,214.370000
10107,59491810,MSFT,8048,2020-12-08,216.010000,23270482,212.890000,216.950000,213.970000
10107,59491810,MSFT,8048,2020-12-09,211.800000,32486809,211.214000,215.225000,215.160000
10107,59491810,MSFT,8048,2020-12-10,210.520000,26942253,210.360000,213.080000,211.770000
10107,59491810,MSFT,8048,2020-12-11,213.260000,30963465,209.110000,213.320000,210.050000
10107,59491810,MSFT,8048,2020-12-14,214.200000,28724024,212.880000,216.210000,213.100000
10107,59491810,MSFT,8048,2020-12-15,214.130000,26979122,212.240000,215.420000,215.165000
10107,59491810,MSFT,8048,2020-12-16,219.280000,34982749,214.720000,220.110000,214.750000
10107,59491810,MSFT,8048,2020-12-17,219.420000,32507555,217.920000,220.890000,219.870000
10107,59491810,MSFT,8048,2020-12-18,218.590000,63278405,216.020000,219.690000,218.590000
10107,59491810,MSFT,8048,2020-12-21,222.590000,37130683,217.280100,224.000000,217.550000
10107,59491810,MSFT,8048,2020-12-22,223.940000,22625322,221.850000,225.630000,222.690000
10107,59491810,MSFT,8048,2020-12-23,221.020000,18662773,220.800000,223.558900,223.110000
10107,59491810,MSFT,8048,2020-12-24,222.750000,10530152,221.200000,223.610000,221.420000
10107,59491810,MSFT,8048,2020-12-28,224.960000,17896853,223.020000,226.030000,224.450000
10107,59491810,MSFT,8048,2020-12-29,224.150000,17379372,223.580000,227.180000,226.310000
10107,59491810,MSFT,8048,2020-12-30,221.680000,20235782,221.470000,225.630000,225.230000
10107,59491810,MSFT,8048,2020-12-31,222.420000,20916638,219.680000,223.000000,221.700000
10107,59491810,MSFT,8048,2021-01-04,217.690000,37089039,214.810000,223.000000,222.530000
10107,59491810,MSFT,8048,2021-01-05,217.900000,23794016,215.700000,218.520000,217.260000
10107,59491810,MSFT,8048,2021-01-06,212.250000,35861912,211.940000,216.489900,212.170000
10107,59491810,MSFT,8048,2021-01-07,218.290000,27659866,213.710000,219.340000,214.040000
10107,59491810,MSFT,8048,2021-01-08,219.620000,22914645,217.026100,220.580000,218.680000
10107,59491810,MSFT,8048,2021-01-11,217.490000,23026750,216.730000,218.910000,218.470000
10107,59491810,MSFT,8048,2021-01-12,214.930000,23229822,213.320200,217.100000,216.500000
10107,59491810,MSFT,8048,2021-01-13,216.340000,20069123,213.926600,216.760000,214.020000
10107,59491810,MSFT,8048,2021-01-14,213.020000,29812728,212.740000,217.460000,215.910000
10107,59491810,MSFT,8048,2021-01-15,212.650000,31704133,212.030000,214.510000,213.520000
10107,59491810,MSFT,8048,2021-01-19,216.440000,30453173,212.630000,216.980000,213.750000
10107,59491810,MSFT,8048,2021-01-20,224.340000,37704943,217.290800,225.790000,217.700000
10107,59491810,MSFT,8048,2021-01-21,224.970000,30802424,222.420000,226.300000,224.700000
10107,59491810,MSFT,8048,2021-01-22,225.950000,30119838,225.800000,230.070000,227.080000
10107,59491810,MSFT,8048,2021-01-25,229.530000,33093539,224.220000,229.780000,229.120000
10107,59491810,MSFT,8048,2021-01-26,232.330000,49100737,230.080000,234.180000,231.860000
10107,59491810,MSFT,8048,2021-01-27,232.900000,70670403,230.140000,240.440000,238.000000
10107,59491810,MSFT,8048,2021-01-28,238.930000,49025266,235.090000,242.640000,235.610000
10107,59491810,MSFT,8048,2021-01-29,231.960000,42435379,231.350000,238.020000,235.990000
10107,59491810,MSFT,8048,2021-02-01,239.650000,33252825,232.430000,242.500000,235.060000
10107,59491810,MSFT,8048,2021-02-02,239.510000,25863078,238.690000,242.310000,241.300000
10107,59491810,MSFT,8048,2021-02-03,243.000000,27060430,239.260000,245.090000,239.570000
10107,59491810,MSFT,8048,2021-02-04,242.010000,25212368,240.370000,243.239900,242.660000
10107,59491810,MSFT,8048,2021-02-05,242.200000,18009761,240.420000,243.280000,242.230000
10107,59491810,MSFT,8048,2021-02-08,242.470000,22167146,240.810000,243.680000,243.150000
10107,59491810,MSFT,8048,2021-02-09,243.770000,23540079,241.380000,244.760000,241.870000
10107,59491810,MSFT,8048,2021-02-10,242.820000,22195371,240.890000,245.920000,245.000000
10107,59491810,MSFT,8048,2021-02-11,244.490000,15722796,242.150000,245.150000,244.780000
10107,59491810,MSFT,8048,2021-02-12,244.990000,16540999,242.730000,245.300000,243.933000
10107,59491810,MSFT,8048,2021-02-16,243.700000,26695936,242.920000,246.130000,245.030000
10107,59491810,MSFT,8048,2021-02-17,244.200000,21637364,240.940000,244.310000,241.320000
10107,59491810,MSFT,8048,2021-02-18,243.790000,16910868,240.860000,243.930000,241.800000
10107,59491810,MSFT,8048,2021-02-19,240.970000,25206105,240.180000,243.860000,243.750000
10107,59491810,MSFT,8048,2021-02-22,234.510000,36391945,232.400000,237.930000,237.420000
10107,59491810,MSFT,8048,2021-02-23,233.270000,30163707,228.730000,234.830000,230.325000
10107,59491810,MSFT,8048,2021-02-24,234.550000,26301783,229.000000,235.200000,230.010000
10107,59491810,MSFT,8048,2021-02-25,228.990000,39462272,227.880000,234.585200,232.080000
10107,59491810,MSFT,8048,2021-02-26,232.380000,37679175,229.540000,235.370000,231.525000
10107,59491810,MSFT,8048,2021-03-01,236.940000,25283556,233.150000,237.470000,235.900000
10107,59491810,MSFT,8048,2021-03-02,233.870000,22779932,233.450000,237.300000,237.010000
10107,59491810,MSFT,8048,2021-03-03,227.560000,33926329,227.260000,233.579900,232.155000
10107,59491810,MSFT,8048,2021-03-04,226.730000,44596506,224.260000,232.490000,226.735000
10107,59491810,MSFT,8048,2021-03-05,231.600000,41780603,226.460000,233.270000,229.517000
10107,59491810,MSFT,8048,2021-03-08,227.390000,35197716,227.130000,233.365000,231.370000
10107,59491810,MSFT,8048,2021-03-09,233.780000,33022864,231.670000,235.383900,232.880000
10107,59491810,MSFT,8048,2021-03-10,232.420000,29675052,232.040000,237.000000,237.000000
10107,59491810,MSFT,8048,2021-03-11,237.130000,29848828,234.310000,239.170000,234.960000
10107,59491810,MSFT,8048,2021-03-12,235.750000,22637291,233.230000,235.820000,234.010000
10107,59491810,MSFT,8048,2021-03-15,234.810000,26011300,231.810000,235.185000,234.960000
10107,59491810,MSFT,8048,2021-03-16,237.710000,28042808,235.940000,240.055000,236.280000
10107,59491810,MSFT,8048,2021-03-17,237.040000,29538537,233.230000,238.550000,236.150000
10107,59491810,MSFT,8048,2021-03-18,230.720000,34810722,230.330000,234.190000,232.560000
10107,59491810,MSFT,8048,2021-03-19,230.350000,46375066,229.349600,232.474000,231.020000
10107,59491810,MSFT,8048,2021-03-22,235.990000,30097293,230.140000,236.900000,230.270000
10107,59491810,MSFT,8048,2021-03-23,237.580000,31668869,237.070000,241.050000,237.485000
10107,59491810,MSFT,8048,2021-03-24,235.460000,25572321,235.320000,238.000000,237.845000
10107,59491810,MSFT,8048,2021-03-25,232.340000,34032843,231.570000,236.940000,235.300000
10107,59491810,MSFT,8048,2021-03-26,236.480000,25465939,231.550000,236.710000,231.550000
10107,59491810,MSFT,8048,2021-03-29,235.240000,26270976,231.880000,236.800000,236.590000
10107,59491810,MSFT,8048,2021-03-30,231.850000,24756958,231.100000,233.850000,233.525000
10107,59491810,MSFT,8048,2021-03-31,235.770000,43529147,232.390000,239.100000,232.910000
10107,59491810,MSFT,8048,2021-04-01,242.350000,30310601,238.050100,242.840000,238.470000
10107,59491810,MSFT,8048,2021-04-05,249.070000,36880414,242.700000,249.960000,242.760000
10107,59491810,MSFT,8048,2021-04-06,247.860000,22908156,246.880000,249.400000,247.610000
10107,59491810,MSFT,8048,2021-04-07,249.900000,22691053,247.190000,250.930000,247.810000
10107,59491810,MSFT,8048,2021-04-08,253.250000,23599367,252.000000,254.139000,252.770000
10107,59491810,MSFT,8048,2021-04-09,255.850000,24289760,252.440000,255.990000,252.870000
10107,59491810,MSFT,8048,2021-04-12,255.910000,27111522,254.620000,257.670000,254.710000
10107,59491810,MSFT,8048,2021-04-13,258.490000,23801741,256.830000,259.190000,257.257000
10107,59491810,MSFT,8048,2021-04-14,255.590000,23028434,255.160000,258.830000,257.475000
10107,59491810,MSFT,8048,2021-04-15,259.500000,25608187,257.730000,259.930000,257.931000
10107,59491810,MSFT,8048,2021-04-16,260.740000,24856583,257.601400,261.000000,259.470000
10107,59491810,MSFT,8048,2021-04-19,258.740000,23183103,257.821000,261.480000,260.190000
10107,59491810,MSFT,8048,2021-04-20,258.260000,19700433,256.840000,260.200000,257.820000
10107,59491810,MSFT,8048,2021-04-21,260.580000,24134659,257.250000,260.680000,258.940000
10107,59491810,MSFT,8048,2021-04-22,257.170000,25575599,255.640000,261.780000,260.210000
10107,59491810,MSFT,8048,2021-04-23,261.150000,21475411,257.270000,261.510000,257.880000
10107,59491810,MSFT,8048,2021-04-26,261.550000,19728316,260.170000,262.435000,261.660000
10107,59491810,MSFT,8048,2021-04-27,261.970000,31011609,260.120000,263.190000,261.585000
10107,59491810,MSFT,8048,2021-04-28,254.560000,46821276,252.950000,256.539900,256.078000
10107,59491810,MSFT,8048,2021-04-29,252.510000,40541027,249.000000,256.100000,255.460000
10107,59491810,MSFT,8048,2021-04-30,252.180000,30878693,249.600000,253.080000,249.740000
10107,59491810,MSFT,8048,2021-05-03,251.860000,19652087,251.120000,254.350000,253.400000
10107,59491810,MSFT,8048,2021-05-04,247.790000,32699654,245.760000,251.210000,250.970000
10107,59491810,MSFT,8048,2021-05-05,246.470000,21876831,245.820000,249.500000,249.060000
10107,59491810,MSFT,8048,2021-05-06,249.730000,26471720,244.690000,249.860000,246.450000
10107,59491810,MSFT,8048,2021-05-07,252.460000,27000234,251.170000,254.300000,252.150000
10107,59491810,MSFT,8048,2021-05-10,247.180000,29263666,247.120000,251.730000,250.870000
10107,59491810,MSFT,8048,2021-05-11,246.230000,33610012,242.570000,246.600000,244.550000
10107,59491810,MSFT,8048,2021-05-12,239.000000,36609390,238.070000,244.380000,242.165000
10107,59491810,MSFT,8048,2021-05-13,243.030000,29590857,241.420000,245.600000,241.800000
10107,59491810,MSFT,8048,2021-05-14,248.150000,24023474,245.490000,249.180000,245.575000
10107,59491810,MSFT,8048,2021-05-17,245.180000,24942341,243.520000,246.590000,246.550000
10107,59491810,MSFT,8048,2021-05-18,243.080000,20144534,242.900000,246.410000,246.270000
10107,59491810,MSFT,8048,2021-05-19,243.120000,25711097,238.600000,243.230000,239.310000
10107,59491810,MSFT,8048,2021-05-20,246.480000,21768450,243.860000,247.950000,243.960000
10107,59491810,MSFT,8048,2021-05-21,245.170000,21922422,244.740000,248.330000,247.565000
10107,59491810,MSFT,8048,2021-05-24,250.780000,21379095,247.510000,251.160000,247.785000
10107,59491810,MSFT,8048,2021-05-25,251.720000,17681986,250.820000,252.750000,251.769000
10107,59491810,MSFT,8048,2021-05-26,251.490000,17762649,250.750000,252.940000,251.430000
10107,59491810,MSFT,8048,2021-05-27,249.310000,24406475,249.250000,251.480000,251.170000
10107,59491810,MSFT,8048,2021-05-28,249.680000,18251898,249.560000,252.080000,250.995000
10107,59491810,MSFT,8048,2021-06-01,247.400000,23190059,246.960000,251.290000,251.230000
10107,59491810,MSFT,8048,2021-06-02,247.300000,19358103,245.840000,249.270000,248.125000
10107,59491810,MSFT,8048,2021-06-03,245.710000,25283978,243.000000,246.340000,245.220000
10107,59491810,MSFT,8048,2021-06-04,250.790000,25255797,247.510000,251.650000,247.760000
10107,59491810,MSFT,8048,2021-06-07,253.810000,23014222,249.810000,254.090000,249.980000
10107,59491810,MSFT,8048,2021-06-08,252.570000,22423620,252.510000,256.010000,255.160000
10107,59491810,MSFT,8048,2021-06-09,253.590000,17911747,253.210000,255.530000,253.810000
10107,59491810,MSFT,8048,2021-06-10,257.240000,24548788,253.670000,257.460000,254.290000
10107,59491810,MSFT,8048,2021-06-11,257.890000,18980823,256.610000,258.486800,257.985000
10107,59491810,MSFT,8048,2021-06-14,259.890000,19127612,256.800000,259.950000,257.900000
10107,59491810,MSFT,8048,2021-06-15,258.360000,18023474,257.680000,259.990000,259.775000
10107,59491810,MSFT,8048,2021-06-16,257.380000,27179228,254.420000,260.580000,259.400000
10107,59491810,MSFT,8048,2021-06-17,260.900000,27535879,256.010000,261.750000,256.065000
10107,59491810,MSFT,8048,2021-06-18,259.430000,37163285,258.750000,262.300000,259.630000
10107,59491810,MSFT,8048,2021-06-21,262.630000,26676937,257.920000,263.520000,259.820000
10107,59491810,MSFT,8048,2021-06-22,265.510000,24677909,262.400000,265.790000,262.720000
10107,59491810,MSFT,8048,2021-06-23,265.275000,19501358,264.430000,266.830000,265.990000
10107,59491810,MSFT,8048,2021-06-24,266.690000,21453273,265.470000,267.850000,266.160000
10107,59491810,MSFT,8048,2021-06-25,265.020000,25585076,264.760000,267.250000,266.230000
10107,59491810,MSFT,8048,2021-06-28,268.720000,19580167,265.910000,268.900000,266.185000
10107,59491810,MSFT,8048,2021-06-29,271.400000,19921691,267.980000,271.650000,268.865000
10107,59491810,MSFT,8048,2021-06-30,270.900000,21629418,269.604300,271.359800,270.690000
10107,59491810,MSFT,8048,2021-07-01,271.600000,16709942,269.600000,271.840000,269.610000
10107,59491810,MSFT,8048,2021-07-02,277.650000,26445879,272.500000,278.000000,272.820000
10107,59491810,MSFT,8048,2021-07-06,277.660000,31529618,274.300000,279.369800,278.030000
10107,59491810,MSFT,8048,2021-07-07,279.930000,23241653,277.150000,280.694500,279.400000
10107,59491810,MSFT,8048,2021-07-08,277.420000,24599805,274.870000,278.730000,276.900000
10107,59491810,MSFT,8048,2021-07-09,277.940000,23882069,275.320000,278.050000,275.720000
10107,59491810,MSFT,8048,2021-07-12,277.320000,18910515,276.580000,279.770000,279.157000
10107,59491810,MSFT,8048,2021-07-13,280.980000,26089011,277.390000,282.847700,277.520000
10107,59491810,MSFT,8048,2021-07-14,282.510000,23061882,280.550000,283.660000,282.345000
10107,59491810,MSFT,8048,2021-07-15,281.030000,22584004,279.830000,282.510000,282.000000
10107,59491810,MSFT,8048,2021-07-16,280.750000,26145941,279.460000,284.100000,282.070000
10107,59491810,MSFT,8048,2021-07-19,277.010000,32889818,274.450000,280.370000,278.934000
